patron_id,book_id,request_type,urgency,status,created_at
28,43,RETURN,2,COMPLETED,2026-06-15T13:00:00
1,27,RETURN,2,PROCESSING,2026-04-03T15:00:00
46,10,RETURN,3,COMPLETED,2026-05-14T12:00:00
40,35,RETURN,8,PROCESSING,2026-06-01T12:00:00
21,16,BORROW,5,PROCESSING,2026-03-04T15:00:00
37,40,RESERVE,7,PROCESSING,2026-01-08T15:00:00
21,12,RETURN,4,PROCESSING,2026-03-08T13:00:00
18,39,RESERVE,5,COMPLETED,2026-01-03T16:00:00
13,6,BORROW,7,PROCESSING,2026-05-23T11:00:00
45,31,RESERVE,8,PROCESSING,2026-01-05T09:00:00
19,15,RETURN,4,PROCESSING,2026-06-19T13:00:00
31,36,RESERVE,6,PROCESSING,2026-05-21T13:00:00
23,45,RETURN,5,PROCESSING,2026-03-06T11:00:00
8,47,BORROW,6,PENDING,2026-05-18T10:00:00
13,14,RESERVE,8,PROCESSING,2026-05-31T16:00:00
39,19,BORROW,4,PROCESSING,2026-02-28T13:00:00
12,20,BORROW,9,PENDING,2026-03-12T08:00:00
4,36,RETURN,3,COMPLETED,2026-05-06T09:00:00
1,37,RETURN,8,PROCESSING,2026-04-23T13:00:00
12,4,RETURN,8,PENDING,2026-01-17T14:00:00
32,5,RESERVE,1,PENDING,2026-02-08T12:00:00
6,16,BORROW,9,PROCESSING,2026-06-05T11:00:00
50,34,RETURN,8,PROCESSING,2026-03-18T14:00:00
20,37,RESERVE,1,COMPLETED,2026-01-26T11:00:00
41,14,RETURN,2,PENDING,2026-03-03T10:00:00
36,5,BORROW,1,PROCESSING,2026-04-26T15:00:00
19,3,BORROW,5,COMPLETED,2026-03-14T15:00:00
5,44,BORROW,5,COMPLETED,2026-05-31T11:00:00
28,8,RESERVE,4,COMPLETED,2026-02-08T12:00:00
10,5,BORROW,3,PROCESSING,2026-06-02T12:00:00
29,8,RETURN,5,COMPLETED,2026-04-14T12:00:00
33,35,RETURN,8,PENDING,2026-06-03T08:00:00
28,48,RETURN,10,PROCESSING,2026-01-07T09:00:00
15,44,RESERVE,10,PENDING,2026-06-22T12:00:00
37,3,BORROW,8,COMPLETED,2026-06-16T15:00:00
18,12,RESERVE,7,COMPLETED,2026-05-06T09:00:00
31,23,RETURN,6,PROCESSING,2026-06-21T09:00:00
11,22,RETURN,8,PROCESSING,2026-06-19T14:00:00
49,36,BORROW,8,PENDING,2026-03-22T12:00:00
21,8,RETURN,9,PENDING,2026-06-18T16:00:00
30,27,BORROW,4,COMPLETED,2026-04-03T15:00:00
41,29,BORROW,4,PROCESSING,2026-05-21T10:00:00
19,29,RESERVE,8,PENDING,2026-01-08T11:00:00
46,11,RETURN,9,PENDING,2026-05-22T14:00:00
6,15,BORROW,8,PENDING,2026-06-15T10:00:00
32,46,RETURN,9,COMPLETED,2026-03-11T14:00:00
31,31,BORROW,8,COMPLETED,2026-02-07T14:00:00
13,39,RESERVE,3,PENDING,2026-03-12T14:00:00
22,33,RETURN,1,PROCESSING,2026-03-18T15:00:00
10,29,RESERVE,8,PROCESSING,2026-03-27T16:00:00
49,35,RETURN,8,PROCESSING,2026-02-18T11:00:00
37,25,BORROW,7,PENDING,2026-03-23T15:00:00
46,25,RETURN,3,PROCESSING,2026-01-10T10:00:00
33,38,RETURN,2,PROCESSING,2026-01-26T16:00:00
30,1,RESERVE,3,PROCESSING,2026-06-17T10:00:00
5,31,RETURN,6,COMPLETED,2026-06-27T14:00:00
42,6,RETURN,9,PROCESSING,2026-03-23T15:00:00
35,3,RESERVE,2,PENDING,2026-06-11T12:00:00
15,48,BORROW,7,PENDING,2026-06-12T09:00:00
29,11,RESERVE,5,PENDING,2026-01-12T13:00:00
4,19,RETURN,6,PROCESSING,2026-02-07T11:00:00
34,27,RESERVE,3,PENDING,2026-02-14T09:00:00
40,25,RESERVE,4,PROCESSING,2026-05-30T10:00:00
15,30,RESERVE,5,PROCESSING,2026-03-07T08:00:00
30,19,RESERVE,9,PENDING,2026-01-19T15:00:00
23,38,RETURN,7,COMPLETED,2026-03-06T15:00:00
20,13,RETURN,8,PENDING,2026-03-02T14:00:00
37,23,RESERVE,5,COMPLETED,2026-03-17T08:00:00
43,26,RETURN,1,COMPLETED,2026-06-25T08:00:00
39,48,RETURN,5,PENDING,2026-06-05T13:00:00
15,41,BORROW,10,PROCESSING,2026-06-23T10:00:00
41,7,RESERVE,1,PROCESSING,2026-04-23T08:00:00
38,24,RESERVE,3,PENDING,2026-03-17T13:00:00
48,27,BORROW,4,PENDING,2026-05-19T13:00:00
34,33,RETURN,3,PROCESSING,2026-05-04T12:00:00
48,22,BORROW,8,PENDING,2026-02-06T11:00:00
44,47,RESERVE,7,COMPLETED,2026-04-04T09:00:00
26,1,RETURN,9,PENDING,2026-04-27T13:00:00
44,48,RESERVE,5,COMPLETED,2026-04-08T13:00:00
7,44,BORROW,8,PENDING,2026-06-08T16:00:00
21,40,BORROW,2,COMPLETED,2026-04-29T12:00:00
42,27,BORROW,3,PENDING,2026-01-10T12:00:00
32,8,BORROW,4,COMPLETED,2026-02-04T14:00:00
30,24,RESERVE,9,PROCESSING,2026-05-31T10:00:00
27,42,BORROW,8,COMPLETED,2026-04-15T12:00:00
3,45,RETURN,4,PROCESSING,2026-04-24T11:00:00
24,7,RESERVE,6,COMPLETED,2026-06-15T13:00:00
4,26,RETURN,4,PENDING,2026-04-27T09:00:00
43,14,RESERVE,10,PENDING,2026-01-13T13:00:00
16,9,RESERVE,4,PENDING,2026-05-22T11:00:00
38,14,BORROW,6,PENDING,2026-06-02T08:00:00
18,10,BORROW,9,PROCESSING,2026-02-14T09:00:00
43,2,BORROW,1,PROCESSING,2026-03-02T13:00:00
2,12,RETURN,1,PENDING,2026-04-18T16:00:00
8,48,BORROW,8,PROCESSING,2026-04-03T16:00:00
38,7,RETURN,9,PENDING,2026-06-07T08:00:00
47,43,RESERVE,5,PROCESSING,2026-06-14T08:00:00
4,31,RETURN,7,COMPLETED,2026-01-28T15:00:00
46,29,BORROW,2,PROCESSING,2026-06-05T10:00:00
5,9,RETURN,10,COMPLETED,2026-05-30T16:00:00
46,21,RETURN,10,COMPLETED,2026-03-17T15:00:00
33,39,RETURN,2,COMPLETED,2026-01-30T16:00:00
47,14,RETURN,8,PENDING,2026-04-16T13:00:00
30,26,RETURN,2,PROCESSING,2026-04-20T13:00:00
43,17,RETURN,3,COMPLETED,2026-05-02T09:00:00
6,6,BORROW,7,PENDING,2026-04-06T10:00:00
36,4,RESERVE,9,COMPLETED,2026-03-26T09:00:00
27,23,RESERVE,7,COMPLETED,2026-01-14T12:00:00
39,20,RETURN,2,COMPLETED,2026-05-10T11:00:00
10,43,RETURN,4,PENDING,2026-03-31T16:00:00
24,8,RETURN,10,PENDING,2026-04-20T16:00:00
50,40,RESERVE,9,PENDING,2026-06-05T12:00:00
2,12,RETURN,5,PROCESSING,2026-03-31T08:00:00
12,10,RESERVE,7,PENDING,2026-02-06T08:00:00
6,48,RESERVE,4,PROCESSING,2026-04-18T15:00:00
22,11,RETURN,5,COMPLETED,2026-03-25T09:00:00
4,10,BORROW,10,PENDING,2026-06-22T09:00:00
18,29,RESERVE,7,PROCESSING,2026-06-05T15:00:00
27,18,BORROW,9,PENDING,2026-03-30T14:00:00
8,19,RESERVE,10,PROCESSING,2026-05-15T12:00:00
3,15,RETURN,10,PENDING,2026-01-02T11:00:00
20,14,BORROW,5,PROCESSING,2026-03-25T09:00:00
1,32,RESERVE,7,PENDING,2026-02-03T14:00:00
35,46,BORROW,9,COMPLETED,2026-06-21T13:00:00
5,26,RESERVE,1,PROCESSING,2026-01-05T15:00:00
5,21,RESERVE,7,COMPLETED,2026-04-14T14:00:00
19,8,RETURN,1,PROCESSING,2026-02-13T15:00:00
45,24,BORROW,7,PENDING,2026-03-04T14:00:00
38,26,RESERVE,2,PROCESSING,2026-03-21T13:00:00
15,22,BORROW,2,COMPLETED,2026-06-12T09:00:00
34,33,BORROW,6,PROCESSING,2026-06-15T10:00:00
16,7,BORROW,5,PENDING,2026-02-14T10:00:00
49,49,RESERVE,2,PENDING,2026-06-10T15:00:00
30,49,RESERVE,10,PROCESSING,2026-06-24T13:00:00
41,21,BORROW,8,PENDING,2026-05-01T15:00:00
41,20,RETURN,10,PENDING,2026-04-01T16:00:00
5,20,RETURN,8,PENDING,2026-01-15T13:00:00
19,5,RESERVE,2,COMPLETED,2026-06-02T16:00:00
25,30,RESERVE,9,COMPLETED,2026-01-11T15:00:00
37,42,BORROW,6,COMPLETED,2026-05-02T16:00:00
10,4,RETURN,2,PROCESSING,2026-01-22T16:00:00
42,12,BORROW,4,COMPLETED,2026-04-23T15:00:00
34,34,RESERVE,3,PROCESSING,2026-04-06T12:00:00
25,27,RETURN,10,PENDING,2026-06-11T13:00:00
5,22,BORROW,9,COMPLETED,2026-04-09T12:00:00
17,47,RESERVE,10,PENDING,2026-03-27T09:00:00
38,43,BORROW,6,PROCESSING,2026-06-17T14:00:00
9,39,RESERVE,2,PROCESSING,2026-05-24T14:00:00
42,22,BORROW,9,PENDING,2026-06-15T14:00:00
33,24,BORROW,6,PROCESSING,2026-02-16T11:00:00
22,50,RETURN,4,PENDING,2026-02-05T10:00:00
5,19,BORROW,9,COMPLETED,2026-05-15T08:00:00
43,22,RESERVE,3,COMPLETED,2026-04-07T10:00:00
11,12,RESERVE,10,PENDING,2026-04-23T08:00:00
27,24,RESERVE,4,PROCESSING,2026-06-06T12:00:00
49,48,RETURN,4,COMPLETED,2026-03-03T12:00:00
31,13,RETURN,10,PROCESSING,2026-04-29T12:00:00
50,25,RESERVE,9,PROCESSING,2026-02-11T11:00:00
39,9,RETURN,1,COMPLETED,2026-05-04T13:00:00
36,7,RESERVE,9,PENDING,2026-03-14T09:00:00
49,11,RETURN,8,COMPLETED,2026-02-07T14:00:00
6,15,RETURN,6,PENDING,2026-04-17T08:00:00
26,33,RETURN,4,PROCESSING,2026-01-21T13:00:00
15,2,RETURN,2,COMPLETED,2026-06-16T13:00:00
10,9,BORROW,5,PROCESSING,2026-06-28T10:00:00
49,46,RETURN,8,COMPLETED,2026-01-02T09:00:00
2,17,BORROW,3,COMPLETED,2026-06-05T16:00:00
28,8,RETURN,4,PROCESSING,2026-02-01T08:00:00
16,27,RESERVE,10,PROCESSING,2026-01-17T09:00:00
32,39,RESERVE,1,COMPLETED,2026-05-12T11:00:00
46,10,RETURN,7,PENDING,2026-06-07T13:00:00
16,37,RETURN,3,COMPLETED,2026-06-21T09:00:00
34,24,BORROW,9,COMPLETED,2026-05-10T16:00:00
36,2,RETURN,8,PENDING,2026-06-12T14:00:00
24,17,RESERVE,1,PROCESSING,2026-01-18T13:00:00
16,47,RESERVE,2,COMPLETED,2026-03-27T10:00:00
3,23,RESERVE,6,COMPLETED,2026-02-14T15:00:00
45,31,RESERVE,3,PENDING,2026-01-17T15:00:00
3,19,BORROW,1,PENDING,2026-01-11T13:00:00
20,33,RETURN,9,PROCESSING,2026-03-06T08:00:00
49,42,BORROW,5,PROCESSING,2026-01-13T13:00:00
18,8,RETURN,7,PROCESSING,2026-04-23T14:00:00
22,12,RETURN,8,PROCESSING,2026-05-13T12:00:00
6,47,RETURN,2,PROCESSING,2026-06-04T10:00:00
35,19,RETURN,2,PENDING,2026-03-25T12:00:00
20,29,RESERVE,7,PENDING,2026-06-26T15:00:00
23,29,BORROW,6,COMPLETED,2026-04-22T12:00:00
41,4,BORROW,7,PROCESSING,2026-05-12T10:00:00
